id,locale,key,value
en.WindTurbine.AddAssetForm.title,en,WindTurbine.AddAssetForm.title,Add a new asset
en.WindTurbine.AddAssetForm.city.label,en,WindTurbine.AddAssetForm.city.label,City
en.WindTurbine.AddAssetForm.country.label,en,WindTurbine.AddAssetForm.country.label,Country
en.WindTurbine.AddAssetForm.latitude.label,en,WindTurbine.AddAssetForm.latitude.label,Latitude
en.WindTurbine.AddAssetForm.longitude.label,en,WindTurbine.AddAssetForm.longitude.label,Longitude
en.WindTurbine.AddAssetForm.manufacturer.label,en,WindTurbine.AddAssetForm.manufacturer.label,Manufacturer
en.WindTurbine.AddAssetForm.turbineId.label,en,WindTurbine.AddAssetForm.turbineId.label,Asset ID
en.WindTurbine.AddAssetModal.primaryButtonLabel,en,WindTurbine.AddAssetModal.primaryButtonLabel,Save
en.WindTurbine.AddAssetModal.secondaryButtonLabel,en,WindTurbine.AddAssetModal.secondaryButtonLabel,Cancel
en.WindTurbine.AssetsFilterPanel.title,en,WindTurbine.AssetsFilterPanel.title,Filter
en.WindTurbine.AssetsGrid.city,en,WindTurbine.AssetsGrid.city,City
en.WindTurbine.AssetsGrid.country,en,WindTurbine.AssetsGrid.country,Country
en.WindTurbine.AssetsGrid.createAsset,en,WindTurbine.AssetsGrid.createAsset,Add WindTurbine
en.WindTurbine.AssetsGrid.id,en,WindTurbine.AssetsGrid.id,ID
en.WindTurbine.AssetsGrid.manufacturer,en,WindTurbine.AssetsGrid.manufacturer,Manufacturer
en.WindTurbine.AssetsFilterPanel.Assets,en,WindTurbine.AssetsFilterPanel.Assets,Assets
en.WindTurbine.AssetsFilterPanel.CountryLabel,en,WindTurbine.AssetsFilterPanel.CountryLabel,Country
en.WindTurbine.AssetsFilterPanel.ManufacturerLabel,en,WindTurbine.AssetsFilterPanel.ManufacturerLabel,Manufacturer
en.WindTurbine.AssetsFilterPanel.TurbineIdLabel,en,WindTurbine.AssetsFilterPanel.TurbineIdLabel,Turbine ID
en.WindTurbine.AssetsGrid.title,en,WindTurbine.AssetsGrid.title,All Assets
en.WindTurbine.DistributionMap.title,en,WindTurbine.DistributionMap.title,Distribution Map
en.WindTurbine.DistributionMap.Country.label,en,WindTurbine.DistributionMap.Country.label,Country
en.WindTurbine.DistributionMap.City.label,en,WindTurbine.DistributionMap.City.label,City
en.WindTurbine.DistributionMap.Manufacturer.label,en,WindTurbine.DistributionMap.Manufacturer.label,Manufacturer
en.WindTurbine.EventChart.title,en,WindTurbine.EventChart.title,Wind Turbines
en.WindTurbine.EventChart.Alerts.legendLabel,en,WindTurbine.EventChart.Alerts.legendLabel,Alerts
en.WindTurbine.EventChart.Reminders.legendLabel,en,WindTurbine.EventChart.Reminders.legendLabel,Reminders
en.WindTurbine.EventChart.Updates.legendLabel,en,WindTurbine.EventChart.Updates.legendLabel,Updates
en.WindTurbine.EventPieChart.title,en,WindTurbine.EventPieChart.title,Wind Turbine Events
en.WindTurbine.EventChart.xAxis.name,en,WindTurbine.EventChart.xAxis.name,Wind Turbine
en.WindTurbine.EventChart.yAxis.name,en,WindTurbine.EventChart.yAxis.name,# of Events
en.WindTurbine.EventPieChart.EventCode.label,en,WindTurbine.EventPieChart.EventCode.label,Event Code
en.WindTurbine.EventsList.NumAssets,en,WindTurbine.EventsList.NumAssets,Number of Assets
en.WindTurbine.EventsList.NumEvents,en,WindTurbine.EventsList.NumEvents,Number of Events
en.WindTurbine.EventsList.NumMeasurements,en,WindTurbine.EventsList.NumMeasurements,Number of Measurements
en.WindTurbine.Menu.assets.title,en,WindTurbine.Menu.assets.title,Assets
en.WindTurbine.Menu.overview.title,en,WindTurbine.Menu.overview.title,Overview
en.WindTurbine.Turbines.title,en,WindTurbine.Turbines.title,All Turbines
en.WindTurbine.TurbinesFilterPanel.Turbines,en,WindTurbine.TurbinesFilterPanel.Assets,Turbine Assets
en.WindTurbine.TurbinesFilterPanel.CountryLabel,en,WindTurbine.TurbinesFilterPanel.CountryLabel,Turbine Country
en.WindTurbine.TurbinesFilterPanel.ManufacturerLabel,en,WindTurbine.TurbinesFilterPanel.ManufacturerLabel,Turbine Manufacturer
en.WindTurbine.TurbinesFilterPanel.TurbineIdLabel,en,WindTurbine.TurbinesFilterPanel.TurbineIdLabel,Turbine ID
en.WindTurbine.TurbinesFilterPanel.title,en,WindTurbine.TurbinesFilterPanel.title,Turbines Filter
en.WindTurbine.TurbinesTable.city,en,WindTurbine.TurbinesTable.city,Turbine Table City
en.WindTurbine.TurbinesTable.country,en,WindTurbine.TurbinesTable.country,Turbine Table Country
en.WindTurbine.TurbinesTable.createAsset,en,WindTurbine.TurbinesTable.createAsset,Add WindTurbine
en.WindTurbine.TurbinesTable.id,en,WindTurbine.TurbinesTable.id,Turbine Table ID
en.WindTurbine.TurbinesTable.manufacturer,en,WindTurbine.TurbinesTable.manufacturer,Turbine Table Manufacturer
en.WindTurbine.TurbinesTable.title,en,WindTurbine.TurbinesTable.title,All Turbines
en.WindTurbine.Menu.home.title,en,WindTurbine.Menu.home.title,Home
